City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
6,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
12,Kavaratti,IN,81.81,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
15,Itacare,BR,84.09,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
22,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
30,Hambantota,LK,78.87,broken clouds,6.1241,81.1185,Bungalow 63
31,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti Beach Resort
41,Atuona,PF,78.28,scattered clouds,-9.8,-139.0333,Villa Enata
42,Rikitea,PF,75.42,broken clouds,-23.1203,-134.9692,People ThankYou
44,Castro,BR,79.86,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
48,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
51,Maragogi,BR,83.44,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
53,Caravelas,BR,81.12,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
60,Bangkal,PH,77.18,scattered clouds,6.0667,121.0667,JB's Resort
61,Cuamba,MZ,83.32,few clouds,-14.8031,36.5372,Hotel Vision
64,Butaritari,KI,82.4,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
65,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Kavieng,PG,82.49,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
74,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
77,Faanui,PF,80.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
81,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
83,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
84,Kishapu,TZ,81.34,overcast clouds,-3.6167,33.8667,Special seat Guest House
