,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Qaanaaq,GL,77.484,-69.3632,0.43,66,66,7.81,broken clouds,2021-12-04 17:17:44
1,Mataura,NZ,-46.1927,168.8643,58.48,93,58,3.0,broken clouds,2021-12-04 17:17:45
2,Fort Nelson,CA,58.8053,-122.7002,-18.81,76,90,2.3,light snow,2021-12-04 17:17:45
3,Bathsheba,BB,13.2167,-59.5167,86.61,58,40,19.57,scattered clouds,2021-12-04 17:17:45
4,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,4.61,light intensity drizzle,2021-12-04 17:17:46
5,Necochea,AR,-38.5473,-58.7368,61.03,44,37,13.71,scattered clouds,2021-12-04 17:17:46
6,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,54,40,10.36,scattered clouds,2021-12-04 17:17:46
7,Punta Arenas,CL,-53.15,-70.9167,55.51,67,75,19.57,broken clouds,2021-12-04 17:16:32
8,Saldanha,ZA,-33.0117,17.9442,62.69,89,100,6.15,light rain,2021-12-04 17:17:47
9,Kapaa,US,22.0752,-159.319,66.18,82,20,1.01,light rain,2021-12-04 17:17:47
10,Vestmanna,FO,62.1564,-7.1664,32.92,69,82,3.44,broken clouds,2021-12-04 17:17:48
11,Bethel,US,41.3712,-73.414,47.71,59,90,1.01,overcast clouds,2021-12-04 17:17:48
12,Kavaratti,IN,10.5669,72.642,81.81,75,11,5.64,few clouds,2021-12-04 17:17:48
13,Cape Town,ZA,-33.9258,18.4232,68.11,69,20,5.01,light rain,2021-12-04 17:17:49
14,Waw,SS,7.7029,27.9953,90.28,26,79,5.66,broken clouds,2021-12-04 17:17:49
15,Itacare,BR,-14.2775,-38.9967,84.09,69,42,7.9,scattered clouds,2021-12-04 17:17:49
16,Kiama,AU,-34.6833,150.8667,63.0,84,100,1.01,overcast clouds,2021-12-04 17:17:50
17,Verkhnyaya Inta,RU,65.9811,60.3094,-17.25,93,11,7.34,few clouds,2021-12-04 17:17:50
18,Albany,US,42.6001,-73.9662,39.81,66,73,1.99,broken clouds,2021-12-04 17:17:50
19,Ponta Delgada,PT,37.7333,-25.6667,68.5,63,20,6.91,few clouds,2021-12-04 17:17:51
20,Darnah,LY,32.767,22.6367,59.97,64,63,19.37,broken clouds,2021-12-04 17:17:51
21,Hilo,US,19.7297,-155.09,67.73,90,90,5.75,light rain,2021-12-04 17:17:52
22,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,0,4.61,clear sky,2021-12-04 17:17:52
23,Hobart,AU,-42.8794,147.3294,44.46,80,82,8.05,broken clouds,2021-12-04 17:17:53
24,Mar Del Plata,AR,-38.0023,-57.5575,57.87,79,4,11.99,clear sky,2021-12-04 17:17:53
25,Varde,DK,55.6211,8.4807,39.54,98,90,8.05,mist,2021-12-04 17:15:09
26,Yellowknife,CA,62.456,-114.3525,-27.71,83,1,5.75,clear sky,2021-12-04 17:15:43
27,Iqaluit,CA,63.7506,-68.5145,2.93,77,75,27.0,light snow,2021-12-04 17:17:54
28,Fortuna,US,40.5982,-124.1573,49.32,69,21,0.65,few clouds,2021-12-04 17:17:54
29,Barrow,US,71.2906,-156.7887,10.42,72,90,13.8,overcast clouds,2021-12-04 17:17:55
30,Hambantota,LK,6.1241,81.1185,78.87,84,52,5.91,broken clouds,2021-12-04 17:15:13
31,Vaini,TO,-21.2,-175.2,78.96,94,40,8.05,moderate rain,2021-12-04 17:17:55
32,Ilulissat,GL,69.2167,-51.1,35.62,64,75,27.63,broken clouds,2021-12-04 17:17:55
33,Henties Bay,NA,-22.116,14.2845,64.85,78,0,15.61,clear sky,2021-12-04 17:17:56
34,Amazar,RU,53.858,120.875,0.7,99,92,1.34,overcast clouds,2021-12-04 17:17:56
35,East London,ZA,-33.0153,27.9116,67.14,100,90,9.22,light rain,2021-12-04 17:17:56
36,Puerto Ayora,EC,-0.7393,-90.3518,73.36,82,89,8.34,overcast clouds,2021-12-04 17:17:57
37,Karpathos,GR,35.507,27.2132,66.16,72,40,17.27,scattered clouds,2021-12-04 17:17:57
38,Thompson,CA,55.7435,-97.8558,-9.24,77,90,5.75,light snow,2021-12-04 17:17:57
39,Busselton,AU,-33.65,115.3333,61.09,74,0,12.5,clear sky,2021-12-04 17:17:58
40,Norman Wells,CA,65.282,-126.8329,-39.96,67,20,2.3,few clouds,2021-12-04 17:17:58
41,Atuona,PF,-9.8,-139.0333,78.28,75,34,20.11,scattered clouds,2021-12-04 17:17:58
42,Rikitea,PF,-23.1203,-134.9692,75.42,73,56,12.91,broken clouds,2021-12-04 17:17:59
43,Tasiilaq,GL,65.6145,-37.6368,30.36,74,100,16.04,overcast clouds,2021-12-04 17:17:59
44,Castro,BR,-24.7911,-50.0119,79.86,37,3,3.15,clear sky,2021-12-04 17:17:59
45,San Cristobal,VE,7.7669,-72.225,78.98,41,80,8.75,broken clouds,2021-12-04 17:18:00
46,Klaksvik,FO,62.2266,-6.589,34.72,57,99,16.55,overcast clouds,2021-12-04 17:18:00
47,Ushuaia,AR,-54.8,-68.3,62.26,27,75,13.8,broken clouds,2021-12-04 17:19:00
48,Grand Gaube,MU,-20.0064,57.6608,79.38,70,2,5.99,clear sky,2021-12-04 17:19:01
49,Pevek,RU,69.7008,170.3133,-11.92,95,100,9.89,overcast clouds,2021-12-04 17:19:01
50,Cascais,PT,38.6979,-9.4215,60.51,80,75,3.0,broken clouds,2021-12-04 17:19:01
51,Maragogi,BR,-9.0122,-35.2225,83.44,70,72,11.01,broken clouds,2021-12-04 17:19:02
52,Guerrero Negro,MX,27.9769,-114.0611,66.65,68,96,8.48,overcast clouds,2021-12-04 17:19:02
53,Caravelas,BR,-17.7125,-39.2481,81.12,67,25,9.04,moderate rain,2021-12-04 17:19:03
54,Nouadhibou,MR,20.931,-17.0347,69.78,68,0,14.97,clear sky,2021-12-04 17:19:03
