City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Rikitea,PF,2021-11-29 00:26:44,-23.1203,-134.9692,76.96,73,6,19.75
1,1,Bredasdorp,ZA,2021-11-29 00:26:44,-34.5322,20.0403,62.28,81,54,4.27
2,2,Albany,US,2021-11-29 00:26:13,42.6001,-73.9662,30.85,96,86,0.67
3,3,Airai,TL,2021-11-29 00:26:45,-8.9266,125.4092,69.15,71,100,0.69
4,4,New Norfolk,AU,2021-11-29 00:26:45,-42.7826,147.0587,63.9,46,85,2.98
5,5,Garissa,KE,2021-11-29 00:26:45,-0.4536,39.6401,77.18,83,81,7.0
6,6,Chokurdakh,RU,2021-11-29 00:24:14,70.6333,147.9167,-39.17,100,87,1.36
7,7,Yellowknife,CA,2021-11-29 00:26:46,62.456,-114.3525,18.12,100,90,10.36
8,8,Honiara,SB,2021-11-29 00:26:46,-9.4333,159.95,86.7,69,81,6.11
9,9,Merauke,ID,2021-11-29 00:26:46,-8.4667,140.3333,84.99,66,100,3.51
10,10,Codrington,AU,2021-11-29 00:26:47,-38.2667,141.9667,71.92,45,0,2.64
11,11,Shahrud,IR,2021-11-29 00:26:47,36.4182,54.9763,40.98,64,13,1.99
12,12,Pisco,PE,2021-11-29 00:26:48,-13.7,-76.2167,66.25,82,0,13.8
13,13,Margate,GB,2021-11-29 00:26:48,51.3813,1.3862,31.86,82,17,22.59
14,14,Kodiak,US,2021-11-29 00:26:49,57.79,-152.4072,9.91,52,1,8.05
15,15,Rocha,UY,2021-11-29 00:26:49,-34.4833,-54.3333,63.99,98,100,2.53
16,16,Busselton,AU,2021-11-29 00:26:49,-33.65,115.3333,65.84,67,63,8.05
17,17,Punta Arenas,CL,2021-11-29 00:26:50,-53.15,-70.9167,44.71,70,75,31.07
18,18,Saint-Joseph,RE,2021-11-29 00:26:50,-21.3667,55.6167,73.78,86,28,7.63
19,19,Bluff,NZ,2021-11-29 00:26:50,-46.6,168.3333,57.6,69,43,19.71
20,20,Wuzhou,CN,2021-11-29 00:26:51,23.4833,111.3167,57.78,74,4,2.28
21,21,Saint-Philippe,RE,2021-11-29 00:26:51,-21.3585,55.7679,74.79,84,38,5.08
22,22,Victoria,HK,2021-11-29 00:22:58,22.2855,114.1577,69.85,58,32,6.96
23,23,Faanui,PF,2021-11-29 00:26:52,-16.4833,-151.75,81.66,72,79,9.6
24,24,Ushuaia,AR,2021-11-29 00:25:26,-54.8,-68.3,40.66,81,75,24.16
25,25,Luwuk,ID,2021-11-29 00:26:52,-0.9516,122.7875,78.35,86,100,2.39
26,26,Tshikapa,CD,2021-11-29 00:26:52,-6.4167,20.8,68.41,98,62,2.1
27,27,Lebu,CL,2021-11-29 00:26:53,-37.6167,-73.65,53.24,78,7,18.88
28,28,Mataura,NZ,2021-11-29 00:26:53,-46.1927,168.8643,69.89,26,61,6.17
29,29,Puerto Ayora,EC,2021-11-29 00:26:53,-0.7393,-90.3518,69.71,81,78,11.32
30,30,Jamestown,US,2021-11-29 00:26:54,42.097,-79.2353,35.19,100,90,6.91
31,31,Kutum,SD,2021-11-29 00:26:54,14.2,24.6667,65.71,23,0,7.23
32,32,Torbay,CA,2021-11-29 00:26:54,47.6666,-52.7314,41.77,87,20,9.22
33,33,Thompson,CA,2021-11-29 00:26:55,55.7435,-97.8558,-2.04,84,75,2.3
